,中西区,湾仔区,东区,南区,油尖旺区,深水埗区,九龙城区,黄大仙区,观塘区,葵青区,荃湾区,屯门区,元朗区,北区,大埔区,沙田区,西贡区,离岛区
中西区,0,1,2,1,1,2,2,3,3,3,4,5,5,5,4,3,4,5
湾仔区,1,0,1,1,1,2,1,2,2,3,4,5,5,5,4,3,3,5
东区,2,,0,1,2,3,2,2,1,4,5,6,6,5,4,3,2,6
南区,1,,,0,2,3,2,3,2,4,5,6,6,6,5,4,3,6
油尖旺区,1,,,,0,1,1,2,2,2,3,4,4,4,3,2,3,4
深水埗区,2,,,,,0,1,2,2,1,2,3,3,3,2,1,3,3
九龙城区,2,,,,,,0,1,1,2,3,4,4,3,2,1,2,4
黄大仙区,3,,,,,,,0,1,3,4,5,5,3,2,1,1,5
观塘区,3,,,,,,,,0,3,3,5,5,4,3,2,1,5
葵青区,3,,,,,,,,,0,1,2,2,3,2,1,4,2
荃湾区,4,,,,,,,,,,0,1,1,2,1,1,2,1
屯门区,5,,,,,,,,,,,0,1,2,2,2,3,1
元朗区,5,,,,,,,,,,,,0,1,1,2,3,2
北区,5,,,,,,,,,,,,,0,1,2,3,3
大埔区,4,,,,,,,,,,,,,,0,1,2,2
沙田区,3,,,,,,,,,,,,,,,0,1,2
西贡区,4,,,,,,,,,,,,,,,,0,3
离岛区,5,,,,,,,,,,,,,,,,,0
